id,title,actors,director,genres,keywords,soup
19995,Avatar,"['samworthington', 'zoesaldana', 'sigourneyweaver']",jamescameron,"['action', 'adventure', 'fantasy']","['cultureclash', 'future', 'spacewar']",samworthington zoesaldana sigourneyweaver action adventure fantasy cultureclash future spacewar jamescameron
285,Pirates of the Caribbean: At World's End,"['johnnydepp', 'orlandobloom', 'keiraknightley']",goreverbinski,"['adventure', 'fantasy', 'action']","['ocean', 'drugabuse', 'exoticisland']",johnnydepp orlandobloom keiraknightley adventure fantasy action ocean drugabuse exoticisland goreverbinski
206647,Spectre,"['danielcraig', 'christophwaltz', 'léaseydoux']",sammendes,"['action', 'adventure', 'crime']","['spy', 'basedonnovel', 'secretagent']",danielcraig christophwaltz léaseydoux action adventure crime spy basedonnovel secretagent sammendes
49026,The Dark Knight Rises,"['christianbale', 'michaelcaine', 'garyoldman']",christophernolan,"['action', 'crime', 'drama']","['dccomics', 'crimefighter', 'terrorist']",christianbale michaelcaine garyoldman action crime drama dccomics crimefighter terrorist christophernolan
49529,John Carter,"['taylorkitsch', 'lynncollins', 'samanthamorton']",andrewstanton,"['action', 'adventure', 'sciencefiction']","['basedonnovel', 'mars', 'medallion']",taylorkitsch lynncollins samanthamorton action adventure sciencefiction basedonnovel mars medallion andrewstanton
559,Spider-Man 3,"['tobeymaguire', 'kirstendunst', 'jamesfranco']",samraimi,"['fantasy', 'action', 'adventure']","['dualidentity', 'amnesia', 'sandstorm']",tobeymaguire kirstendunst jamesfranco fantasy action adventure dualidentity amnesia sandstorm samraimi
38757,Tangled,"['zacharylevi', 'mandymoore', 'donnamurphy']",byronhoward,"['animation', 'family']","['hostage', 'magic', 'horse']",zacharylevi mandymoore donnamurphy animation family hostage magic horse byronhoward
99861,Avengers: Age of Ultron,"['robertdowneyjr.', 'chrishemsworth', 'markruffalo']",josswhedon,"['action', 'adventure', 'sciencefiction']","['marvelcomic', 'sequel', 'superhero']",robertdowneyjr. chrishemsworth markruffalo action adventure sciencefiction marvelcomic sequel superhero josswhedon
767,Harry Potter and the Half-Blood Prince,"['danielradcliffe', 'rupertgrint', 'emmawatson']",davidyates,"['adventure', 'fantasy', 'family']","['witch', 'magic', 'broom']",danielradcliffe rupertgrint emmawatson adventure fantasy family witch magic broom davidyates
209112,Batman v Superman: Dawn of Justice,"['benaffleck', 'henrycavill', 'galgadot']",zacksnyder,"['action', 'adventure', 'fantasy']","['dccomics', 'vigilante', 'superhero']",benaffleck henrycavill galgadot action adventure fantasy dccomics vigilante superhero zacksnyder
1452,Superman Returns,"['brandonrouth', 'kevinspacey', 'katebosworth']",bryansinger,"['adventure', 'fantasy', 'action']","['savingtheworld', 'dccomics', 'invulnerability']",brandonrouth kevinspacey katebosworth adventure fantasy action savingtheworld dccomics invulnerability bryansinger
10764,Quantum of Solace,"['danielcraig', 'olgakurylenko', 'mathieuamalric']",marcforster,"['adventure', 'action', 'thriller']","['killing', 'undercover', 'secretagent']",danielcraig olgakurylenko mathieuamalric adventure action thriller killing undercover secretagent marcforster
58,Pirates of the Caribbean: Dead Man's Chest,"['johnnydepp', 'orlandobloom', 'keiraknightley']",goreverbinski,"['adventure', 'fantasy', 'action']","['witch', 'fortuneteller', 'bondage']",johnnydepp orlandobloom keiraknightley adventure fantasy action witch fortuneteller bondage goreverbinski
57201,The Lone Ranger,"['johnnydepp', 'armiehammer', 'williamfichtner']",goreverbinski,"['action', 'adventure', 'western']","['texas', 'horse', 'survivor']",johnnydepp armiehammer williamfichtner action adventure western texas horse survivor goreverbinski
49521,Man of Steel,"['henrycavill', 'amyadams', 'michaelshannon']",zacksnyder,"['action', 'adventure', 'fantasy']","['savingtheworld', 'dccomics', 'superhero']",henrycavill amyadams michaelshannon action adventure fantasy savingtheworld dccomics superhero zacksnyder
2454,The Chronicles of Narnia: Prince Caspian,"['benbarnes', 'williammoseley', 'annapopplewell']",andrewadamson,"['adventure', 'family', 'fantasy']","['basedonnovel', 'fictionalplace', 'brothersisterrelationship']",benbarnes williammoseley annapopplewell adventure family fantasy basedonnovel fictionalplace brothersisterrelationship andrewadamson
